Date,Open,High,Low,Close,Volume
2018-04-27,93.3301,93.3468,93.3301,93.3468,758785
2018-04-30,93.3382,93.3468,93.3301,93.3468,714421
2018-05-01,93.3562,93.3562,93.3468,93.3562,883401
2018-05-02,93.3382,93.3562,93.3301,93.3562,1001911
2018-05-03,93.3562,93.3737,93.3562,93.3562,2436385
2018-05-04,93.3562,93.3737,93.3562,93.3737,5134639
2018-05-07,93.3737,93.3828,93.3562,93.3828,1998041
2018-05-08,93.3828,93.3828,93.365,93.3737,1429281
2018-05-09,93.365,93.3828,93.365,93.3828,1521323
2018-05-10,93.3828,93.3919,93.3737,93.3919,880921
2018-05-11,93.4005,93.4005,93.3828,93.4005,1134142
2018-05-14,93.4005,93.4005,93.3828,93.3919,1558507
2018-05-15,93.3919,93.4096,93.3919,93.4096,1316461
2018-05-16,93.4096,93.419,93.4005,93.4005,3073774
2018-05-17,93.419,93.4267,93.4096,93.4267,747168
2018-05-18,93.419,93.4359,93.4096,93.4267,2013539
2018-05-21,93.4267,93.4267,93.419,93.419,783053
2018-05-22,93.4359,93.4359,93.419,93.419,1244955
2018-05-23,93.4359,93.4454,93.4267,93.4454,2094025
2018-05-24,93.4454,93.464,93.4454,93.4454,914983
2018-05-25,93.4732,93.4732,93.4545,93.4732,521552
2018-05-29,93.4732,93.5089,93.464,93.4993,1568954
2018-05-30,93.4993,93.4993,93.4825,93.4825,1406222
2018-05-31,93.4825,93.4993,93.4825,93.4911,2687406
2018-06-01,93.4993,93.4993,93.4825,93.4911,1917528
2018-06-04,93.4993,93.4993,93.4825,93.4993,2193510
2018-06-05,93.4911,93.4993,93.4825,93.4993,1818630
2018-06-06,93.4993,93.4993,93.4911,93.4993,1037625
2018-06-07,93.4993,93.5171,93.4911,93.5089,3038673
2018-06-08,93.5171,93.5171,93.5089,93.5171,1114668
2018-06-11,93.5264,93.5264,93.5171,93.5264,1119890
2018-06-12,93.5171,93.5341,93.5171,93.5264,1398756
2018-06-13,93.5341,93.5341,93.5171,93.5264,1383318
2018-06-14,93.5424,93.5424,93.5341,93.5424,1575336
2018-06-15,93.5517,93.5517,93.5424,93.5517,756534
2018-06-18,93.5517,93.5611,93.5517,93.5517,1407761
2018-06-19,93.5517,93.5611,93.5517,93.5611,913182
2018-06-20,93.5704,93.5704,93.5611,93.5611,2300997
2018-06-21,93.5779,93.5854,93.5704,93.5854,2176962
2018-06-22,93.5779,93.5854,93.5704,93.5854,1093251
2018-06-25,93.5918,93.5918,93.5779,93.5918,1328644
2018-06-26,93.5918,93.6004,93.5854,93.6004,1779176
2018-06-27,93.5918,93.6078,93.5918,93.6078,1913403
2018-06-28,93.617,93.617,93.6004,93.6004,2705671
2018-06-29,93.617,93.6264,93.6078,93.6264,1921508
2018-07-02,93.6349,93.6349,93.6078,93.6264,2426986
2018-07-03,93.617,93.6349,93.617,93.6349,872623
2018-07-05,93.644,93.6526,93.6264,93.6526,2183737
2018-07-06,93.6611,93.6611,93.6349,93.6526,1996249
2018-07-09,93.6526,93.6526,93.644,93.6526,1195091
2018-07-10,93.6611,93.6611,93.644,93.6526,1156048
2018-07-11,93.6702,93.6702,93.6611,93.6702,742050
2018-07-12,93.6795,93.6795,93.6702,93.6795,930374
2018-07-13,93.6795,93.6889,93.6702,93.6795,700987
2018-07-16,93.6889,93.6889,93.6702,93.6889,1988648
2018-07-17,93.6889,93.6889,93.6702,93.6889,1045242
2018-07-18,93.6983,93.6983,93.6795,93.6983,1702245
2018-07-19,93.7067,93.7067,93.6889,93.6983,1496776
2018-07-20,93.716,93.716,93.7067,93.7067,673271
2018-07-23,93.716,93.716,93.7067,93.7067,994173
2018-07-24,93.7067,93.716,93.7067,93.7067,561684
2018-07-25,93.7255,93.7255,93.7067,93.716,970562
2018-07-26,93.7255,93.7347,93.716,93.7347,2175538
2018-07-27,93.744,93.744,93.7255,93.7255,1977286
2018-07-30,93.7516,93.7516,93.7347,93.7347,1489932
2018-07-31,93.7609,93.7609,93.744,93.744,983835
2018-08-01,93.7609,93.7693,93.7516,93.7516,1847810
2018-08-02,93.7693,93.7786,93.7693,93.7693,564206
2018-08-03,93.788,93.788,93.7786,93.788,1050130
2018-08-06,93.7973,93.7973,93.7786,93.7786,1567538
2018-08-07,93.7786,93.7973,93.7786,93.788,779792
2018-08-08,93.788,93.7973,93.7786,93.788,656176
2018-08-09,93.7973,93.8066,93.7973,93.8066,1025583
2018-08-10,93.8066,93.8066,93.8066,93.8066,784600
2018-08-13,93.8066,93.8133,93.8066,93.8066,1661154
2018-08-14,93.8133,93.8133,93.8066,93.8133,866961
2018-08-15,93.8066,93.8223,93.8066,93.8133,1306265
2018-08-16,93.8223,93.8318,93.8223,93.8223,694217
2018-08-17,93.8223,93.8414,93.8223,93.8318,1262986
2018-08-20,93.8318,93.8497,93.8318,93.8414,692121
2018-08-21,93.8414,93.8497,93.8414,93.8497,1427392
2018-08-22,93.8497,93.8581,93.8414,93.8581,674858
2018-08-23,93.8656,93.8656,93.8497,93.8497,884217
2018-08-24,93.8581,93.8741,93.8581,93.8581,743115
2018-08-27,93.8741,93.8741,93.8581,93.8581,980768
2018-08-28,93.8741,93.8741,93.8656,93.8656,1033790
2018-08-29,93.8656,93.8741,93.8656,93.8741,928095
2018-08-30,93.8741,93.8919,93.8741,93.8741,1581555
2018-08-31,93.8919,93.8919,93.8834,93.8834,849158
2018-09-04,93.8919,93.9013,93.8834,93.8919,2106208
2018-09-05,93.9013,93.9013,93.8834,93.9013,693121
2018-09-06,93.92,93.92,93.9013,93.9105,1387206
2018-09-07,93.92,93.92,93.9105,93.92,1388285
2018-09-10,93.9286,93.9286,93.9105,93.9286,671062
2018-09-11,93.9105,93.9286,93.9105,93.9286,1770246
2018-09-12,93.9286,93.9286,93.92,93.9286,1431167
2018-09-13,93.936,93.936,93.9286,93.9286,844080
2018-09-14,93.9286,93.936,93.9286,93.9286,925279
2018-09-17,93.9286,93.936,93.9286,93.936,780622
2018-09-18,93.936,93.936,93.9286,93.936,1516631
2018-09-19,93.936,93.936,93.9286,93.9286,1029418
2018-09-20,93.936,93.9547,93.936,93.936,716320
2018-09-21,93.9453,93.9547,93.936,93.9547,5420940
2018-09-24,93.9453,93.9632,93.9453,93.9547,1397763
2018-09-25,93.9547,93.9547,93.9453,93.9547,1366789
2018-09-26,93.9632,93.9716,93.9547,93.9716,825301
2018-09-27,93.9716,93.9905,93.9716,93.9905,972230
2018-09-28,93.9905,93.9988,93.9811,93.9988,1554050
2018-10-01,94.0082,94.0082,93.9988,94.0082,1883067
2018-10-02,94.0082,94.0177,93.9905,93.9988,1323701
2018-10-03,94.0177,94.0177,93.9905,94.0177,1218322
2018-10-04,94.0082,94.0251,94.0082,94.0251,1511358
2018-10-05,94.0251,94.0335,94.0177,94.0251,1555086
2018-10-08,94.0335,94.0335,94.0177,94.0335,592763
2018-10-09,94.0335,94.0335,94.0177,94.0335,2874918
2018-10-10,94.0335,94.0335,94.0177,94.0335,1060200
2018-10-11,94.0335,94.0607,94.0335,94.0419,3845541
2018-10-12,94.0419,94.0681,94.0419,94.0607,1382873
2018-10-15,94.0681,94.0681,94.0515,94.0607,884927
2018-10-16,94.0681,94.0777,94.0515,94.0681,1468109
2018-10-17,94.0607,94.0777,94.0515,94.0515,1323865
2018-10-18,94.0681,94.0944,94.0681,94.0944,2307860
2018-10-19,94.0777,94.0944,94.0777,94.0944,985943
2018-10-22,94.0944,94.104,94.0777,94.0944,916962
2018-10-23,94.0944,94.1133,94.0861,94.104,2502282
2018-10-24,94.1133,94.1133,94.0944,94.1133,2084962
2018-10-25,94.132,94.1396,94.1133,94.132,3490509
2018-10-26,94.132,94.1396,94.1228,94.1396,2047247
2018-10-29,94.1478,94.1478,94.1228,94.1396,2865170
2018-10-30,94.1396,94.1478,94.132,94.1478,2395703
2018-10-31,94.1478,94.1573,94.132,94.1573,3089931
2018-11-01,94.1751,94.1847,94.1573,94.1751,3409918
2018-11-02,94.1751,94.1751,94.167,94.167,862683
2018-11-05,94.1847,94.1847,94.167,94.1751,3233834
2018-11-06,94.1847,94.1847,94.167,94.167,946728
2018-11-07,94.1847,94.1847,94.1751,94.1847,1990271
2018-11-08,94.2033,94.212,94.1938,94.1938,1936395
2018-11-09,94.212,94.212,94.2033,94.2033,4830271
2018-11-12,94.2267,94.2364,94.212,94.2364,1012385
2018-11-13,94.2183,94.2267,94.212,94.2267,1434877
2018-11-14,94.2267,94.2364,94.2183,94.2364,2529540
2018-11-15,94.2447,94.2532,94.2447,94.2447,1927641
2018-11-16,94.2627,94.2627,94.2447,94.2532,8834775
2018-11-19,94.2711,94.2711,94.2532,94.2711,1777267
2018-11-20,94.2786,94.2786,94.2711,94.2786,2271180
2018-11-21,94.2966,94.2966,94.2786,94.2786,7456318
2018-11-23,94.2966,94.305,94.2869,94.305,1240693
2018-11-26,94.305,94.305,94.2966,94.305,3268986
2018-11-27,94.305,94.3143,94.2966,94.3143,2187285
2018-11-28,94.3143,94.324,94.2966,94.324,2129156
2018-11-29,94.3331,94.3418,94.324,94.3331,1780071
2018-11-30,94.3418,94.3501,94.3331,94.3418,3480467
2018-12-03,94.3331,94.3501,94.324,94.3501,3739202
2018-12-04,94.3501,94.3595,94.3331,94.3501,2247226
2018-12-06,94.3765,94.386,94.3595,94.3765,4927925
2018-12-07,94.386,94.3946,94.3683,94.386,2552356
2018-12-10,94.3946,94.4028,94.3765,94.3946,2808912
2018-12-11,94.3946,94.4028,94.386,94.386,2320423
2018-12-12,94.4028,94.4028,94.386,94.4028,1314051
2018-12-13,94.4116,94.4302,94.4116,94.4208,1568013
2018-12-14,94.4208,94.439,94.4116,94.4302,1814926
2018-12-17,94.4302,94.4481,94.4208,94.4481,3113305
2018-12-18,94.4577,94.4662,94.439,94.4577,2828201
2018-12-19,94.4577,94.4662,94.4481,94.4662,3420689
2018-12-20,94.485,94.4942,94.4662,94.485,6012443
2018-12-21,94.4942,94.5019,94.485,94.5019,8812622
2018-12-24,94.5019,94.5103,94.4942,94.4942,13060165
2018-12-26,94.5019,94.5198,94.4942,94.4942,3325715
2018-12-27,94.5274,94.5358,94.5198,94.5358,2953322
2018-12-28,94.5453,94.5528,94.5274,94.5528,6055725
2018-12-31,94.5453,94.5528,94.5274,94.5358,4005221
2019-01-02,94.5528,94.5697,94.5358,94.5453,13404090
2019-01-03,94.5605,94.6044,94.5605,94.5792,3330042
2019-01-04,94.5875,94.6044,94.5792,94.6044,5173988
2019-01-07,94.6044,94.6137,94.5875,94.6044,3291305
2019-01-08,94.6044,94.6044,94.5875,94.5968,1746689
2019-01-09,94.6044,94.6137,94.5875,94.5875,5304697
2019-01-10,94.6137,94.6414,94.6044,94.6137,2315916
2019-01-11,94.6325,94.6414,94.6137,94.6414,2200085
2019-01-14,94.6414,94.6507,94.6325,94.6507,2490588
2019-01-15,94.6414,94.66,94.6325,94.66,4532701
2019-01-16,94.6507,94.66,94.6414,94.6414,1898988
2019-01-17,94.6687,94.6865,94.6687,94.6687,5510574
2019-01-18,94.6962,94.6962,94.6687,94.6962,4731118
2019-01-22,94.6865,94.7055,94.6782,94.6865,2795842
2019-01-23,94.6962,94.7055,94.6865,94.6865,2499227
2019-01-24,94.7148,94.7236,94.7148,94.7236,2474795
2019-01-25,94.7236,94.7331,94.7148,94.7236,1637671
2019-01-28,94.7331,94.7413,94.7236,94.7236,2210749
2019-01-29,94.7236,94.7413,94.7148,94.7148,1994852
2019-01-30,94.7331,94.7413,94.7236,94.7413,1900609
2019-01-31,94.7491,94.7756,94.7491,94.7756,3369581
2019-02-01,94.7841,94.7841,94.7669,94.7841,6557075
2019-02-04,94.7756,94.7841,94.7756,94.7841,2417459
2019-02-05,94.7841,94.801,94.7756,94.7756,4477435
2019-02-06,94.7916,94.8096,94.7916,94.801,1856298
2019-02-07,94.8096,94.8267,94.8096,94.8096,1458259
2019-02-08,94.8351,94.8351,94.8267,94.8267,1470620
2019-02-11,94.8267,94.8447,94.8267,94.8267,1523954
2019-02-12,94.8351,94.8351,94.8173,94.8173,4342693
2019-02-13,94.8351,94.8351,94.8267,94.8267,2677567
2019-02-14,94.8521,94.871,94.8521,94.8521,2276397
2019-02-15,94.8617,94.871,94.8617,94.871,1761978
2019-02-19,94.871,94.8899,94.871,94.8806,2768876
2019-02-20,94.8806,94.8899,94.8806,94.8806,2108414
2019-02-21,94.9071,94.9071,94.8899,94.9071,13123606
2019-02-22,94.9165,94.9165,94.8985,94.9071,1371595
2019-02-25,94.9071,94.9165,94.8985,94.9071,6525760
2019-02-26,94.9165,94.926,94.9071,94.9071,2753158
2019-02-27,94.926,94.9343,94.9165,94.9343,1214992
2019-02-28,94.942,94.942,94.9343,94.9343,1488517
2019-03-01,94.9516,94.9599,94.942,94.9516,3198197
2019-03-04,94.9516,94.9686,94.9516,94.9686,1855251
2019-03-05,94.9599,94.9686,94.9516,94.9599,1976514
2019-03-06,94.9686,94.9772,94.9599,94.9772,2605012
2019-03-07,94.9864,94.9951,94.9864,94.9951,1723801
2019-03-08,95.0035,95.0128,94.9951,95.0128,6213110
2019-03-11,95.0128,95.0128,94.9951,94.9951,1487874
2019-03-12,95.0035,95.0215,95.0035,95.0128,3857508
2019-03-13,95.0215,95.0291,95.0128,95.0291,3612614
2019-03-14,95.0375,95.0461,95.0291,95.0291,1378075
2019-03-15,95.0375,95.0557,95.0375,95.0557,1245568
2019-03-18,95.0557,95.0557,95.0375,95.0375,2742286
2019-03-19,95.0641,95.0641,95.0375,95.0641,3551291
2019-03-20,95.0641,95.0736,95.0641,95.0736,2855187
2019-03-21,95.0832,95.0927,95.0832,95.0832,4637227
2019-03-22,95.1013,95.1107,95.0927,95.1107,2366589
2019-03-25,95.1193,95.1193,95.1107,95.1107,1566919
